toplevel,item,article,block
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Dd1e515
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Dd1e533
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Dd1e558
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Qd1e420
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Rd1e415
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Qd1e481
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e391,ta-l3d15q2-Qd1e503
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e315
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e271
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e287
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e251
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e265
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e278
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e293
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e262
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e296
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e299
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e303
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e312
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e321
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e324
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e331
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e341
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e344
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e347
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e350
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e359
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e362
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e365
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e368
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e377
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e380
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e383
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-d1e386
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Dd1e307
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Dd1e246
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Dd1e282
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Dd1e336
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Dd1e354
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Dd1e372
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Qd1e273
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Qd1e289
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Qd1e258
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Rd1e253
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Qd1e267
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e238,ta-l3d15q2-Qd1e326
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e100,ta-l3d15q2-d1e105
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e233
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e122
