ST,Match
TAca84-d1e190-Dd1e461,ta-l1d33q1-Dd1e139
TAca84-d1e190-Dd1e794,ta-l1d26q2-Dd1e151
TAca84-d1e196-Dd1e169,ta-l1d25q1-Dd1e151
TAca84-d1e196-Dd1e493,ta-l1d23q1-Dd1e123
TAca84-d1e196-Dd1e798,ta-l1d23q1-Dd1e170
TAca84-d1e196-Dd1e1109,ta-l1d23q1-Dd1e217
TAca84-d1e196-Dd1e1109,ta-l1d26q1-Dd1e126
TAca84-d1e201-Dd1e141,ta-l1d2q1-Dd1e397
TAca84-d1e201-Dd1e357,ta-l1d10q1-Dd1e3720
TAca84-d1e201-Dd1e357,ta-l1d33q1-Dd1e192
TAca84-d1e201-Dd1e1035,ta-l1d25q1-Dd1e282
TAca84-d1e206-Dd1e149,ta-l1d24q2-Dd1e160
TAca84-d1e206-Dd1e394,ta-l1d9q1-Dd1e173
TAca84-d1e206-Dd1e394,ta-l1d19q1-Dd1e3536
TAca84-d1e206-Dd1e394,ta-l1d24q2-Dd1e101
TAca84-d1e206-Dd1e739,ta-l1d21q1-Dd1e135
TAca84-d1e206-Dd1e1011,ta-l1d21q1-Dd1e212
TAca84-d1e211-Dd1e146,ta-l1d3q1-Dd1e325
TAca84-d1e211-Dd1e651,ta-l1d33q1-Dd1e192
TAca84-d1e211-Dd1e998,ta-l1d26q2-Dd1e192
TAca84-d1e211-Dd1e998,ta-l1d28q1-Dd1e135
TAca84-d1e211-Dd1e1277,ta-l1d33q1-Dd1e331
TAca84-d1e216-Dd1e148,ta-l1d12q1-Dd1e3564
TAca84-d1e216-Dd1e148,ta-l1d29q1-Dd1e120
TAca84-d1e216-Dd1e148,ta-l3d11q1-Dd1e128
TAca84-d1e216-Dd1e886,ta-l1d13q1-Dd1e3656
TAca84-d1e216-Dd1e886,ta-l1d28q1-Dd1e135
TAca84-d1e221-Dd1e146,ta-l1d27q2-Dd1e148
TAca84-d1e221-Dd1e622,ta-l1d27q2-Dd1e148
TAca84-d1e221-Dd1e884,ta-l1d27q2-Dd1e256
TAca84-d1e227-Dd1e135,ta-l1d28q2-Dd1e160
TAca84-d1e227-Dd1e297,ta-l1d3q3-Dd1e172
TAca84-d1e227-Dd1e297,ta-l1d3q3-Dd1e172
TAca84-d1e227-Dd1e297,ta-l1d28q2-Dd1e188
TAca84-d1e227-Dd1e297,ta-l2d16q1-Dd1e129
TAca84-d1e232-Dd1e152,ta-l1d10q1-Dd1e3667
TAca84-d1e232-Dd1e428,ta-l1d11q1-Dd1e3517
TAca84-d1e232-Dd1e1003,ta-l1d12q1-Dd1e3611
TAca84-d1e232-Dd1e1318,ta-l1d11q1-Dd1e3605
TAca84-d1e232-Dd1e1318,ta-l1d11q1-Dd1e3681
TAca84-d1e232-Dd1e1318,ta-l1d29q1-Dd1e273
TAca84-d1e242-Dd1e135,ta-l1d18q1-Dd1e3533
TAca84-d1e242-Dd1e390,ta-l1d18q1-Dd1e3577
TAca84-d1e247-Dd1e176,ta-l1d34q1-Dd1e135
TAca84-d1e247-Dd1e176,ta-l3d6q2-Dd1e184
TAca84-d1e247-Dd1e402,ta-l1d25q1-Dd1e374
TAca84-d1e247-Dd1e402,ta-l1d34q1-Dd1e188
TAca84-d1e247-Dd1e735,ta-l1d9q1-Dd1e217
TAca84-d1e247-Dd1e1015,ta-l1d4q1-Dd1e168
TAca84-d1e247-Dd1e1015,ta-l1d5q1-Dd1e179
TAca84-d1e247-Dd1e1408,ta-l1d5q1-Dd1e132
TAca84-d1e247-Dd1e1408,ta-l1d5q1-Dd1e179
TAca84-d1e247-Dd1e1757,ta-l1d4q2-Dd1e135
TAca84-d1e247-Dd1e1913,ta-l1d31q1-Dd1e182
TAca84-d1e247-Dd1e2139,ta-l1d14q3-Dd1e3536
TAca84-d1e247-Dd1e2139,ta-l1d31q2-Dd1e101
TAca84-d1e247-Dd1e2139,ta-l1d31q3-Dd1e101
TAca84-d1e247-Dd1e2139,ta-l1d34q2-Dd1e92
TAca84-d1e247-Dd1e2139,ta-l1d36q1-Dd1e220
TAca84-d1e252-Dd1e150,ta-l1d26q2-Dd1e101
TAca84-d1e252-Dd1e150,ta-l1d33q1-Dd1e192
TAca84-d1e252-Dd1e409,ta-l1d26q2-Dd1e151
TAca84-d1e252-Dd1e720,ta-l1d26q2-Dd1e151
TAca84-d1e258-Dd1e699,ta-l1d11q1-Dd1e3517
TAca84-d1e258-Dd1e1115,ta-l1d7q1-Dd1e123
TAca84-d1e258-Dd1e1341,ta-l1d7q1-Dd1e163
TAca84-d1e258-Dd1e1575,ta-l1d7q2-Dd1e216
TAca84-d1e263-Dd1e162,ta-l1d19q1-Dd1e3536
TAca84-d1e263-Dd1e544,ta-l3d11q1-Dd1e128
TAca84-d1e263-Dd1e877,ta-l1d12q1-Dd1e3530
TAca84-d1e263-Dd1e877,ta-l1d20q1-Dd1e210
TAca84-d1e263-Dd1e877,ta-l1d19q1-Dd1e3580
TAca84-d1e263-Dd1e1312,ta-l1d19q3-Dd1e3546
TAca84-d1e263-Dd1e1481,ta-l1d20q1-Dd1e173
TAca84-d1e268-Dd1e161,ta-l1d15q1-Dd1e3530
TAca84-d1e268-Dd1e340,ta-l1d15q4-Dd1e3631
TAca84-d1e268-Dd1e522,ta-l1d14q2-Dd1e3586
TAca84-d1e268-Dd1e797,ta-l1d15q2-Dd1e3493
TAca84-d1e268-Dd1e942,ta-l1d15q4-Dd1e3526
TAca84-d1e268-Dd1e1183,ta-l1d15q5-Dd1e3502
TAca84-d1e268-Dd1e1416,ta-l1d16q1-Dd1e3514
TAca84-d1e273-Dd1e168,ta-l2d1q1-Dd1e173
TAca84-d1e273-Dd1e168,ta-l2d37q1-Dd1e170
TAca84-d1e273-Dd1e888,ta-l2d1q2-Dd1e173
TAca84-d1e273-Dd1e888,ta-l2d1q2-Dd1e126
TAca84-d1e278-Dd1e156,ta-l2d1q1-Dd1e173
TAca84-d1e278-Dd1e382,ta-l2d1q1-Dd1e173
TAca84-d1e278-Dd1e651,ta-l1d11q1-Dd1e3517
TAca84-d1e278-Dd1e651,ta-l2d1q1-Dd1e173
TAca84-d1e278-Dd1e1039,ta-l2d1q1-Dd1e226
TAca84-d1e278-Dd1e1039,ta-l4d5q1-Dd1e245
TAca84-d1e278-Dd1e1709,ta-l1d3q2-Dd1e150
TAca84-d1e283-Dd1e145,ta-l2d1q1-Dd1e330
TAca84-d1e283-Dd1e804,ta-l2d1q1-Dd1e330
TAca84-d1e283-Dd1e1289,ta-l2d1q1-Dd1e491
TAca84-d1e294-Dd1e160,ta-l2d34q1-Dd1e176
TAca84-d1e294-Dd1e497,ta-l1d46q1-Dd1e238
TAca84-d1e294-Dd1e716,ta-l2d34q1-Dd1e280
TAca84-d1e294-Dd1e945,ta-l2d34q1-Dd1e330
TAca84-d1e294-Dd1e1209,ta-l2d35q1-Dd1e161
TAca84-d1e294-Dd1e1425,ta-l2d37q3-Dd1e151
TAca84-d1e299-Dd1e137,ta-l2d1q1-Dd1e120
TAca84-d1e299-Dd1e137,ta-l2d34q1-Dd1e226
TAca84-d1e299-Dd1e445,ta-l2d37q2-Dd1e101
TAca84-d1e299-Dd1e445,ta-l2d34q1-Dd1e226
TAca84-d1e299-Dd1e445,ta-l2d37q3-Dd1e101
TAca84-d1e299-Dd1e648,ta-l2d1q1-Dd1e120
TAca84-d1e299-Dd1e648,ta-l2d34q1-Dd1e126
